,account_value,date,daily_return,datadate
63,966411.1787627336,2023-10-10,,2021-02-02
64,968699.207217331,2023-10-11,0.0023675517263022,2021-02-03
65,963840.1323322792,2023-10-12,-0.0050160822356919,2021-02-04
66,959004.8651721956,2023-10-13,-0.0050166692565326,2021-02-05
67,964966.9261217272,2023-10-16,0.0062169246122238,2021-02-08
68,964646.9645394116,2023-10-17,-0.0003315777708582,2021-02-09
69,953533.8767061732,2023-10-18,-0.0115203678047591,2021-02-10
70,944180.3052843972,2023-10-19,-0.0098093750523958,2021-02-11
71,933314.8267382472,2023-10-20,-0.0115078428191504,2021-02-12
72,926639.2545852473,2023-10-23,-0.0071525405594697,2021-02-16
73,933717.6383056756,2023-10-24,0.0076387695485624,2021-02-17
74,923107.326214436,2023-10-25,-0.011363512539501,2021-02-18
75,917750.0614711916,2023-10-26,-0.0058035123231161,2021-02-19
76,906238.8275814974,2023-10-27,-0.0125428854466554,2021-02-22
77,917737.2828807376,2023-10-30,0.0126881070963671,2021-02-23
78,916238.5545211872,2023-10-31,-0.0016330690574605,2021-02-24
79,926329.7194642453,2023-11-01,0.011013687312396,2021-02-25
80,944665.0747944376,2023-11-02,0.0197935518476044,2021-02-26
81,954104.6109256556,2023-11-03,0.0099924686357988,2021-03-01
82,957022.5017782708,2023-11-06,0.003058250446756,2021-03-02
83,953705.3666514284,2023-11-07,-0.0034660994079854,2021-03-03
84,956313.5544236528,2023-11-08,0.0027347940605411,2021-03-04
85,945523.384152058,2023-11-09,-0.0112830882942969,2021-03-05
86,958839.390313786,2023-11-10,0.0140832118855205,2021-03-08
87,966849.8818871616,2023-11-13,0.0083543622157138,2021-03-09
88,980914.8113025324,2023-11-14,0.0145471698128751,2021-03-10
89,989838.5754673884,2023-11-15,0.0090973895612875,2021-03-11
90,987549.9083796694,2023-11-16,-0.002312161946849,2021-03-12
91,986562.3624709628,2023-11-17,-0.0009999959499028,2021-03-15
92,987100.1640422596,2023-11-20,0.0005451267874743,2021-03-16
93,986165.2650039828,2023-11-21,-0.0009471166881872,2021-03-17
94,988825.2640892548,2023-11-22,0.0026973157336473,2021-03-18
