date,a2c,ddpg,ppo,mean var,dji,ensemble
2023-09-01,1092961.6226120093,1038036.6231781924,1076507.2650608735,1087698.4038675842,984370.2406180679,1018896.7800963518
2023-09-05,1090109.500488291,1033229.7737442935,1065604.5914012168,1089763.0514500258,1005247.4084829189,1010250.0027297136
2023-09-06,1077175.3213157752,1028325.0246598208,1060523.7259794183,1080666.2454086633,999295.5460529935,1005371.7253630754
2023-09-07,1075985.0313377478,1030855.8277985537,1060914.1235567536,1078284.0309243305,999605.8453976547,1000705.2472975848
2023-09-08,1080617.793029795,1033782.4334237063,1065614.559522757,1083797.5985209732,1002337.2472377486,999183.6448538896
2023-09-11,1085866.9092903235,1038033.986112305,1068796.8203815292,1088459.3869599663,1007356.8159844637,998891.4503653642
2023-09-12,1077782.1831703284,1035371.0798928225,1069627.7162603287,1080072.593884526,1008642.2089219436,999313.9779914018
2023-09-13,1074034.037723551,1032751.3690239871,1064658.1110611253,1079740.8645192909,1014285.7491769451,991863.4830878372
2023-09-14,1084158.7699409276,1042927.0030114138,1081254.825775992,1089597.529079176,1018626.567183239,998646.0392249224
2023-09-15,1073377.1243682653,1035841.9574601138,1071044.760984198,1077945.6363708607,1011695.424212816,992421.6317504044
2023-09-18,1073267.4851334477,1033859.6117112124,1071683.1438031106,1079044.4005185023,1024460.3809494346,993214.5133269426
2023-09-19,1072288.9457123661,1029142.1437775576,1068324.7382041994,1077169.8572233366,1021216.892147368,989523.4486525652
2023-09-20,1068371.4569809819,1028929.6515786136,1065360.0591948265,1070012.1900541494,1013914.855395039,982496.9503958818
2023-09-21,1059411.0603211308,1020085.3333680118,1046510.6201537537,1064496.1452127162,1010867.4553092765,968155.9891188736
2023-09-22,1057079.5101271344,1016646.9143006289,1043827.5297299866,1065615.5952653117,1010724.2849594723,963529.574575722
2023-09-25,1059741.443308119,1016920.4284073794,1043778.9348081726,1069248.2287391685,1004195.437878548,966419.5359862444
2023-09-26,1048122.3750893727,1005477.706235596,1032791.9773086876,1054994.284374224,1003816.7517217951,953384.8755591508
2023-09-27,1045147.0538568746,1003755.8384644473,1032197.4390370583,1051714.8253652167,1010129.6220849394,955570.8843978044
2023-09-28,1046786.5923178121,1008110.9195877993,1038834.8400917839,1057883.698533196,1007924.031090878,956668.407057106
2023-09-29,1043367.5183966085,1003567.4880234683,1037698.0842045998,1053201.0670269162,1015955.8760844922,954288.435964882
2023-10-02,1045539.5882360861,1004103.4937760318,1029305.7301729454,1063651.174964568,1024446.7733694775,950194.0446150895
2023-10-03,1031538.6085751974,989007.4478394473,1016214.0155645928,1048969.8524810155,1024770.3313817893,944574.869520485
2023-10-04,1039949.9700724889,994155.8677193606,1018803.6945127816,1057374.713096424,1020904.8482411738,943037.8191702958
2023-10-05,1039722.2389704991,994532.7259728396,1008363.2625518899,1057727.9116548884,1009996.3375838218,943206.255457222
2023-10-06,1047191.4184863378,1006957.1996514285,1019770.1064774651,1069354.4376385831,1004417.2298014376,952739.1269248124
2023-10-09,1054262.8011615088,1012656.1549851382,1028083.3465466484,1075947.6435313518,1010655.4329309716,959006.682424843
2023-10-10,1058367.1695201208,1017138.0984894717,1035070.7731980766,1075410.7245427764,1020094.4412570659,966411.1787627336
2023-10-11,1070623.5781352331,1021796.7284104312,1042228.0474629578,1081029.311079539,1022655.2249792368,968699.207217331
2023-10-12,1067233.4577815344,1016623.379358002,1034119.3837603898,1079837.6737710177,1024075.7632834696,963840.1323322792
2023-10-13,1061196.506262522,1018949.093129822,1032462.6225694946,1080905.6914483807,1027466.7256871217,959004.8651721956
2023-10-16,1069703.338911753,1030065.747502991,1044803.2628463311,1087846.765925779,1029739.0752358444,964966.9261217272
2023-10-17,1066797.6594645788,1031991.2103516543,1047862.1751459794,1086271.4932024104,1040653.5174024083,964646.9645394116
2023-10-18,1061096.9212481787,1020181.4513565982,1031881.5074021096,1078590.9902420568,1043907.2409654681,953533.8767061732
2023-10-19,1054617.3064830115,1009392.342790314,1022470.912743052,1074585.5315477368,1048789.2219592845,944180.3052843972
2023-10-20,1044545.0563914586,997572.3548104251,1012091.9557488502,1064050.7382337546,1048864.0054969972,933314.8267382472
2023-10-23,1043902.7448336888,993641.1674744571,1005631.3896138214,1065925.7027183522,1054328.902651024,926639.2545852473
2023-10-24,1050392.4418394987,1001670.4552094424,1016663.6112152619,1072330.1364404634,1055127.7955290144,933717.6383056756
2023-10-25,1046990.7782576506,1001940.6596161807,1005848.7684089646,1080195.756606441,1057570.76319566,923107.326214436
2023-10-26,1034731.287838976,992707.1786477054,994570.5078062615,1061433.5059195657,1050502.3813846447,917750.0614711916
2023-10-27,1030627.2204575749,983280.1178414309,984777.2091193261,1059835.4581225107,1055759.5594121478,906238.8275814974
2023-10-30,1044264.3284093725,998965.1796586001,1002232.2434088998,1075378.3457988454,1058744.1552827242,917737.2828807376
2023-10-31,1046617.9777623998,1001675.7510659182,989160.2559374528,1074447.7243395215,1060862.5182001381,916238.5545211872
2023-11-01,1060054.7092878208,1008401.725728699,998167.6966808571,1087431.793632912,1050496.4498754325,926329.7194642453
2023-11-02,1075173.0191740056,1026393.0020195926,1022204.7093755631,1099363.4053611893,1048512.6508042604,944665.0747944376
2023-11-03,1080436.1179632207,1031766.2049614871,1033213.3054629235,1101002.049410213,1044038.5482968487,954104.6109256556
2023-11-06,1085788.0993284245,1033524.6806580508,1032213.4714709687,1108517.9009159424,1056171.6248462314,957022.5017782708
2023-11-07,1090008.0751356145,1035716.5051857913,1031187.9427849792,1116175.5466776588,1051448.2826478118,953705.3666514284
2023-11-08,1091991.8688558599,1034987.3674637759,1029813.6849776139,1117976.18614815,1045757.6392314207,956313.5544236528
2023-11-09,1083184.1785635015,1028741.660936066,1019809.969565554,1113966.930963209,1047329.3728685094,945523.384152058
2023-11-10,1099609.0284894963,1040809.216920563,1031959.5747738556,1131698.840948824,1050463.070598102,958839.390313786
2023-11-13,1100476.456643488,1039171.4064766848,1032046.1052019066,1130800.0605605429,1051244.052644354,966849.8818871616
2023-11-14,1115941.4550870915,1053951.264260956,1050267.6494850982,1138649.236230188,1040488.5981854933,980914.8113025324
2023-11-15,1124482.599461939,1062192.847516724,1059507.6915331406,1141101.38140225,1035109.8823711942,989838.5754673884
2023-11-16,1114177.2998975774,1065195.9777352298,1062230.497325663,1136529.1338132694,1026448.3669682858,987549.9083796694
2023-11-17,1108466.5249570867,1064707.871621796,1066923.0187730812,1129688.9652691206,1027217.4859961139,986562.3624709628
2023-11-20,1120151.503594782,1068311.3733803714,1069303.0751323304,1138939.0717558395,1026116.7839729226,987100.1640422596
2023-11-21,1115009.8140195867,1065678.2350556338,1065262.545494391,1135866.9140335948,1020910.4308380792,986165.2650039828
2023-11-22,1121321.0054182073,1073524.4872033084,1067766.7776187195,1140513.0080615936,1026393.3551279467,988825.2640892548
2023-11-24,1123470.661923792,1077715.8123185122,1071145.8382528902,1142082.817766193,1015271.077530757,991009.7488806898
2023-11-27,1123360.2959989568,1077032.542977997,1069912.3316038728,1142031.3055559155,1022639.4076213381,989732.222565348
2023-11-28,1130138.1218923589,1079794.7173821414,1073681.0095595003,1146794.3297412673,1028983.6800920755,990820.8508548186
2023-11-29,1125900.7186254521,1080138.115735718,1079364.1226271272,1138015.6062119955,1037698.2301655858,994733.914617346
2023-11-30,1135089.5645650884,1094122.0293366397,1087603.8466147066,1147009.3629262072,1038816.726716413,1011955.2074020026
2023-12-01,1138245.789304163,1101039.5286576236,1104125.1041639925,1144829.0648696534,1033804.950344545,1028332.2121787666
2023-12-04,1136744.8235372563,1101730.7176835025,1101890.8463663163,1138418.0566034727,1037252.7854541716,1027470.2871796248
2023-12-05,1141936.0944189092,1098206.6432969058,1098249.2456681274,1149012.040108503,1031424.7868930859,1024535.9443221382
2023-12-06,1138244.2036909123,1095776.2586152041,1096403.281787619,1142231.0613466848,1025506.4200445934,1023597.01120373
2023-12-07,1141344.069699671,1098611.4657418216,1100052.0567126947,1144283.9615315762,1027219.5794699534,1023911.3114070497
2023-12-08,1145683.735322382,1099555.8502175296,1102247.3340959114,1148162.5039452882,1029478.2051346167,1024440.5181754668
2023-12-11,1148405.2959531804,1103896.9547898257,1115318.6953634133,1142540.4236914413,1032072.3681341182,1034730.7338051056
2023-12-12,1153777.3804945012,1110228.1837479556,1121379.2304920373,1148771.145730723,1031544.4638142466,1040451.4504509452
2023-12-13,1171258.1453374883,1125774.1500412906,1142235.9803037667,1161054.606950507,1029446.6867229216,1059636.708336573
2023-12-14,1166233.0236066838,1127119.196481415,1160147.1505890489,1149315.7051757523,1039319.0441338014,1058607.669828669
2023-12-15,1172119.787640955,1128881.4135987246,1160882.9550285821,1151846.3777788903,1030718.2394722399,1060154.1876593994
2023-12-18,1170880.9238409062,1129341.7616860354,1163466.114911635,1153838.1367826648,1030898.7434388495,1056216.5041200318
2023-12-19,1176652.7290166875,1136309.8475052798,1178269.6893335863,1157908.6895619056,1027725.7349227142,1064472.9919110856
2023-12-20,1163544.386823084,1120148.822931,1162650.4749557253,1146056.601903334,1025437.5680160928,1052098.3877097075
2023-12-21,1171565.903531458,1130688.224431702,1174222.6776987556,1152678.8596848547,1014407.6358760472,1061826.3890972731
2023-12-22,1176072.2120076544,1129770.8006493533,1164165.2265467935,1155562.0216709445,1011234.2784476054,1060980.7029035783
2023-12-26,1178085.790933405,1135165.3649880374,1175543.1811799873,1156681.844661328,1012515.7170456108,1063043.5348612885
2023-12-27,1180984.8308770047,1138522.0167633975,1181416.9853968986,1160215.0312502908,1000963.4631825989,1067303.1619266304
2023-12-28,1182247.5310716878,1141380.6109749759,1183940.0301899896,1162704.8589126111,998920.697931613,1070562.1495157266
2023-12-29,1181461.4349288961,1141439.6853577578,1182485.7737481636,1162941.6702409494,1002376.558024291,1069802.597075785
2024-01-02,1176602.7081184408,1145137.0161377871,1180709.326389113,1158858.4790921859,997647.2843166593,1081848.9459542031
2024-01-03,1170527.5269509717,1136569.4848458255,1164764.3537246727,1155632.3480112993,995439.5998487582,1077792.6746330666
2024-01-04,1168085.868393492,1139871.9312645877,1165423.9107372765,1151480.8343511862,982607.8845574786,1081734.8981436903
2024-01-05,1168458.458360842,1140493.4675309146,1168061.408994883,1146758.966535564,986394.2809086003,1083700.3034237504
2024-01-08,1176408.4625444051,1150236.8349816287,1181811.7956650148,1161272.9414907026,986097.1239274872,1094987.4122572313
2024-01-09,1172996.2633500388,1146497.6394402469,1175257.3256278557,1164042.042889099,994672.2253824632,1083727.7771428972
2024-01-10,1183663.2223344138,1151635.0262352908,1176401.4071548409,1175115.1251923915,1000539.7673382956,1083233.629086867
2024-01-11,1181155.6122460654,1153077.907937714,1175681.99935504,1176218.4179116304,1004548.8860451244,1079099.1030182978
2024-01-12,1182411.940828829,1147973.7937714541,1172242.397224875,1173099.2958848986,1006501.1667046011,1084979.4621374002
