date,ensemble
2024-01-29,1115932.8829503122
2024-01-30,1119715.1350026194
2024-01-31,1110988.771889216
2024-02-01,1136278.5725026194
2024-02-02,1132348.076210505
2024-02-05,1128235.45455218
2024-02-06,1117748.0491871897
2024-02-07,1075035.2496151987
2024-02-08,1073418.345341212
2024-02-09,1066944.0047459663
2024-02-12,1075123.3837246958
2024-02-13,1060276.8397145334
2024-02-14,1061984.8470883432
2024-02-15,1068973.8874669138
2024-02-16,1054378.7199978891
2024-02-20,1052453.0249676767
2024-02-21,1052009.1681790417
2024-02-22,1061627.618740565
2024-02-23,1070812.5476002756
2024-02-26,1063317.2122845713
2024-02-27,1047077.5892987314
2024-02-28,1044037.99071551
2024-02-29,1038137.2287106576
2024-03-01,1053487.3429379526
2024-03-04,1049982.2421040598
2024-03-05,1038039.1924634044
2024-03-06,1040856.3824582164
2024-03-07,1033040.6666112008
2024-03-08,1036346.8220105234
2024-03-11,1040230.2539639536
2024-03-12,1045719.1338887278
2024-03-13,1044389.7684979502
2024-03-14,1030684.9230809276
2024-03-15,1022611.1337628427
2024-03-18,1029448.7351117196
2024-03-19,1034902.2416577402
2024-03-20,1042576.7336278023
2024-03-21,1048897.8364720407
2024-03-22,1041878.6592145028
2024-03-25,1049291.1769490305
2024-03-26,1050833.5505757397
2024-03-27,1066575.2653279367
2024-03-28,1061978.8045735422
2024-04-01,1055205.537109858
2024-04-02,1037485.835838801
2024-04-03,1033779.1526799264
2024-04-04,1014074.2086300912
2024-04-05,1021672.6543469492
2024-04-08,1020970.9360241952
2024-04-09,1023567.9684681956
2024-04-10,1009121.154488093
