,date,dji
108,2023-12-13,1029446.6867229216
109,2023-12-14,1039319.0441338014
110,2023-12-15,1030718.2394722399
111,2023-12-18,1030898.7434388495
112,2023-12-19,1027725.7349227142
113,2023-12-20,1025437.5680160928
114,2023-12-21,1014407.6358760472
115,2023-12-22,1011234.2784476054
116,2023-12-26,1012515.7170456108
117,2023-12-27,1000963.4631825989
118,2023-12-28,998920.697931613
119,2023-12-29,1002376.558024291
120,2024-01-02,997647.2843166593
121,2024-01-03,995439.5998487582
122,2024-01-04,982607.8845574786
123,2024-01-05,986394.2809086003
124,2024-01-08,986097.1239274872
125,2024-01-09,994672.2253824632
126,2024-01-10,1000539.7673382956
127,2024-01-11,1004548.8860451244
128,2024-01-12,1006501.1667046011
129,2024-01-16,1001328.5417593949
130,2024-01-17,1002494.141471612
131,2024-01-18,1011850.5738851466
132,2024-01-19,1012240.8904521194
133,2024-01-22,1002338.9917992816
134,2024-01-23,994868.5467069715
135,2024-01-24,986326.7082252238
136,2024-01-25,980643.7408795777
137,2024-01-26,986746.4497300524
138,2024-01-29,983606.8204912476
139,2024-01-30,976114.8591400312
140,2024-01-31,965196.4626339925
141,2024-02-01,980421.9489566882
142,2024-02-02,984111.2313824755
143,2024-02-05,990712.3033108638
144,2024-02-06,1007519.6417275391
145,2024-02-07,1014136.6473179285
146,2024-02-08,1015165.0081895534
147,2024-02-09,1016854.4415780652
148,2024-02-12,1015653.6017228826
149,2024-02-13,1009093.5851425697
150,2024-02-14,1020739.9290242587
151,2024-02-15,1022370.6288411611
152,2024-02-16,1036954.6980402411
153,2024-02-20,1041823.0714541001
154,2024-02-21,1040461.1504173747
155,2024-02-22,1040515.1155207942
156,2024-02-23,1046581.7700995876
157,2024-02-26,1044713.4610018971
158,2024-02-27,1050213.9472111962
159,2024-02-28,1053700.976803263
160,2024-02-29,1052013.4042803864
161,2024-03-01,1054499.8696812536
162,2024-03-04,1054900.0720969131
163,2024-03-05,1070396.430673625
164,2024-03-06,1079168.086061314
165,2024-03-07,1077945.6136431224
166,2024-03-08,1075567.1947531963
167,2024-03-11,1073479.1872064557
168,2024-03-12,1075353.4278133586
169,2024-03-13,1079238.6826513475
170,2024-03-14,1083914.9216883774
171,2024-03-15,1089066.1466787795
172,2024-03-18,1104319.1970736957
173,2024-03-19,1109026.8382183188
174,2024-03-20,1110718.248776568
175,2024-03-21,1110743.8356790512
176,2024-03-22,1118243.9383174216
177,2024-03-25,1104073.9117221625
178,2024-03-26,1113671.5588436534
179,2024-03-27,1113124.231738715
180,2024-03-28,1117868.9738919388
181,2024-04-01,1121179.5701609731
182,2024-04-02,1122774.9135308077
183,2024-04-03,1122162.6887368432
184,2024-04-04,1122921.9219159845
185,2024-04-05,1114440.9104796858
186,2024-04-08,1114743.0685371934
187,2024-04-09,1115510.3266993861
188,2024-04-10,1121968.3445820722
