,account_value,date,daily_return,datadate
71,968937.7055311622,2022-10-21,0.0216492956983407,2021-02-12
72,981986.1573706092,2022-10-24,0.0134667603138574,2021-02-16
73,991973.1963892402,2022-10-25,0.0101702441971001,2021-02-17
74,994756.2600927772,2022-10-26,0.002805583571882,2021-02-18
75,993076.6355486336,2022-10-27,-0.001688478486164,2021-02-19
76,1014342.4239702644,2022-10-28,0.0214140456641418,2021-02-22
77,1012488.2489843788,2022-10-31,-0.0018279576423789,2021-02-23
78,1005440.3882227364,2022-11-01,-0.0069609309231115,2021-02-24
79,982263.2042036476,2022-11-02,-0.023051773422448,2021-02-25
80,974233.0584230842,2022-11-03,-0.0081751466879731,2021-02-26
81,971949.2260332528,2022-11-04,-0.0023442361866966,2021-03-01
82,987660.9131670416,2022-11-07,0.016165131586052,2021-03-02
83,1004345.6998262824,2022-11-08,0.0168932337372136,2021-03-03
84,977877.5525541723,2022-11-09,-0.0263536223400847,2021-03-04
85,1011847.0655966224,2022-11-10,0.0347380026811363,2021-03-05
86,1007166.5799723092,2022-11-11,-0.0046256848326714,2021-03-08
87,999742.3444929542,2022-11-14,-0.0073714076965887,2021-03-09
88,1000391.631857914,2022-11-15,0.0006494547005397,2021-03-10
89,996338.70385651,2022-11-16,-0.0040513413670572,2021-03-11
90,992319.8040743292,2022-11-17,-0.0040336682361378,2021-03-12
91,1000659.3164911688,2022-11-18,0.0084040572228818,2021-03-15
92,995181.4235430184,2022-11-21,-0.0054742836626544,2021-03-16
93,1005681.9122915688,2022-11-22,0.0105513311443925,2021-03-17
94,1013496.6180048408,2022-11-23,0.0077705541063828,2021-03-18
95,1019973.2724733772,2022-11-25,0.0063904056051871,2021-03-19
96,1011661.8451357308,2022-11-28,-0.0081486716975355,2021-03-22
97,1006530.234421772,2022-11-29,-0.0050724565116619,2021-03-23
98,1037741.5513887824,2022-11-30,0.0310088220896223,2021-03-24
99,1017264.2859888496,2022-12-01,-0.0197325291374607,2021-03-25
100,1017721.838818592,2022-12-02,0.0004497875685252,2021-03-26
101,997707.0664511146,2022-12-05,-0.0196662502503741,2021-03-29
102,994680.0550051156,2022-12-06,-0.0030339681333182,2021-03-30
103,996390.6355848731,2022-12-07,0.0017197294458155,2021-03-31
104,1001685.2815733376,2022-12-08,0.0053138255212088,2021-04-01
105,991256.6624937475,2022-12-09,-0.0104110734892797,2021-04-05
106,1001670.3151007118,2022-12-12,0.0105055057897578,2021-04-06
107,997936.18813805,2022-12-13,-0.0037279001946726,2021-04-07
108,994599.1544161262,2022-12-14,-0.0033439349745899,2021-04-08
109,972345.8132601205,2022-12-15,-0.0223741806507663,2021-04-09
110,964654.1705675544,2022-12-16,-0.0079103983250332,2021-04-12
111,960589.390420002,2022-12-19,-0.004213717487129,2021-04-13
112,958036.1014433326,2022-12-20,-0.0026580441155538,2021-04-14
113,975118.8772287788,2022-12-21,0.017831035552533,2021-04-15
114,971955.6290884436,2022-12-22,-0.0032439615458218,2021-04-16
115,974574.2875318946,2022-12-23,0.0026942160373173,2021-04-19
116,976774.106812519,2022-12-27,0.0022572104648845,2021-04-20
117,964753.5064554634,2022-12-28,-0.0123064281426155,2021-04-21
118,976311.9883242073,2022-12-29,0.0119807617089779,2021-04-22
119,974614.238820118,2022-12-30,-0.0017389415723588,2021-04-23
120,973130.0033560218,2023-01-03,-0.0015228953210173,2021-04-26
121,976996.1030798376,2023-01-04,0.0039728501952287,2021-04-27
122,961745.9339209022,2023-01-05,-0.0156092425659238,2021-04-28
123,981044.4607286872,2023-01-06,0.0200661381838211,2021-04-29
124,984404.0358534278,2023-01-09,0.0034244881442428,2021-04-30
