date,ensemble
2022-07-13,919335.0051094558
2022-07-14,912068.4091269042
2022-07-15,937365.7322824636
2022-07-18,924317.437809136
2022-07-19,943068.5739898956
2022-07-20,938627.0129440773
2022-07-21,942635.644836808
2022-07-22,938403.6244598356
2022-07-25,944328.9567299888
2022-07-26,938845.6474267052
2022-07-27,947986.5358349158
2022-07-28,949507.991033284
2022-07-29,953618.120457074
2022-08-01,945705.558241677
2022-08-02,939898.5584878012
2022-08-03,948996.125069924
2022-08-04,944558.4870467688
2022-08-05,946094.0166187256
2022-08-08,948183.3819328428
2022-08-09,946176.1581385504
2022-08-10,955566.8854617622
2022-08-11,948582.9763610618
2022-08-12,958324.26270131
2022-08-15,964306.1496107948
2022-08-16,972007.6940062416
2022-08-17,968532.0400404708
2022-08-18,967643.1276655624
2022-08-19,965563.9202277572
2022-08-22,948258.6071734016
2022-08-23,942069.1544227684
2022-08-24,944029.152084359
2022-08-25,946505.4065513696
2022-08-26,919294.5057839134
2022-08-29,911388.6164330224
2022-08-30,907131.3813027124
2022-08-31,902231.0706843496
2022-09-01,914497.9818450288
2022-09-02,903959.1159545258
2022-09-06,901361.8546478546
2022-09-07,911852.8829667632
2022-09-08,917176.7879203536
2022-09-09,928251.908653836
2022-09-12,919648.9688001678
2022-09-13,887379.8809502685
2022-09-14,892626.9816544616
2022-09-15,885089.5965519875
2022-09-16,889122.3441426781
2022-09-19,888661.1634328392
2022-09-20,879086.3388488509
2022-09-21,867926.1099004486
2022-09-22,877517.390718438
2022-09-23,868068.904495032
2022-09-26,865851.1122625186
2022-09-27,863603.1405881298
2022-09-28,877671.9849004467
2022-09-29,869850.143389674
2022-09-30,858363.7242854106
2022-10-03,876479.8850596416
2022-10-04,892295.37846403
2022-10-05,892488.2328134258
2022-10-06,882953.5193046673
2022-10-07,870951.596751067
2022-10-10,875174.0545399655
2022-10-11,891389.7485343463
2022-10-12,889819.2832194623
2022-10-13,911214.956211522
2022-10-14,901024.7171582916
2022-10-17,914716.8308595724
2022-10-18,924735.4018296308
2022-10-19,923067.2795479916
2022-10-20,921798.3104191844
2022-10-21,941512.2253214576
2022-10-24,958517.7792066048
2022-10-25,965400.7311963892
2022-10-26,967793.3119257706
2022-10-27,970967.2790779598
2022-10-28,992196.5121744032
2022-10-31,988363.4777852696
2022-11-01,985810.527672202
2022-11-02,969098.3525630482
2022-11-03,963002.2394257172
2022-11-04,982620.6464746676
2022-11-07,997053.554254674
2022-11-08,1005386.9227476816
2022-11-09,980328.463049199
2022-11-10,1018201.2316698198
2022-11-11,1028202.6338756836
2022-11-14,1018212.8870469864
2022-11-15,1023518.0498124284
2022-11-16,1019070.080109269
2022-11-17,1017296.9997506876
2022-11-18,1020170.400555394
2022-11-21,1020435.667565442
2022-11-22,1036457.3678519296
2022-11-23,1036206.7652369242
2022-11-25,1036289.0491310244
2022-11-28,1014469.6376887788
2022-11-29,1023324.532192687
2022-11-30,1049093.486696662
2022-12-01,1046838.7202552442
2022-12-02,1044226.9211446332
2022-12-05,1028668.1154451018
2022-12-06,1013283.051817874
2022-12-07,1012877.4179010304
2022-12-08,1016924.58611378
2022-12-09,1003216.3424555216
2022-12-12,1021981.7480888262
2022-12-13,1032230.1566884888
