,account_value,date,daily_return,datadate
84,944558.4870467688,2022-08-04,-0.0046761392443285,2022-08-04
85,946094.0166187256,2022-08-05,0.0016256585410159,2022-08-05
86,948183.3819328428,2022-08-08,0.0022084119309671,2022-08-08
87,946176.1581385504,2022-08-09,-0.0021169151796361,2022-08-09
88,955566.8854617622,2022-08-10,0.0099249249121711,2022-08-10
89,948582.9763610618,2022-08-11,-0.0073086554242882,2022-08-11
90,958324.26270131,2022-08-12,0.0102693033535321,2022-08-12
91,964306.1496107948,2022-08-15,0.0062420280298687,2022-08-15
92,972007.6940062416,2022-08-16,0.0079866175265554,2022-08-16
93,968532.0400404708,2022-08-17,-0.0035757473806049,2022-08-17
94,967643.1276655624,2022-08-18,-0.0009177934628483,2022-08-18
95,965563.9202277572,2022-08-19,-0.0021487337411483,2022-08-19
96,948258.6071734016,2022-08-22,-0.0179224934691776,2022-08-22
97,942069.1544227684,2022-08-23,-0.0065271780333034,2022-08-23
98,944029.152084359,2022-08-24,0.0020805241869865,2022-08-24
99,946505.4065513696,2022-08-25,0.0026230699142533,2022-08-25
100,919294.5057839134,2022-08-26,-0.0287488064823634,2022-08-26
101,911388.6164330224,2022-08-29,-0.0085999527911346,2022-08-29
102,907131.3813027124,2022-08-30,-0.0046711524080386,2022-08-30
103,902231.0706843496,2022-08-31,-0.005401985555086,2022-08-31
104,914497.9818450288,2022-09-01,0.0135961967607416,2022-09-01
105,903959.1159545258,2022-09-02,-0.011524209019292,2022-09-02
106,901361.8546478546,2022-09-06,-0.002873206609492,2022-09-06
107,911852.8829667632,2022-09-07,0.0116390861947528,2022-09-07
108,917176.7879203536,2022-09-08,0.005838556913116,2022-09-08
109,928251.908653836,2022-09-09,0.0120752300748849,2022-09-09
110,919648.9688001678,2022-09-12,-0.0092678935248776,2022-09-12
111,887379.8809502685,2022-09-13,-0.0350884836982958,2022-09-13
112,892626.9816544616,2022-09-14,0.0059130264465474,2022-09-14
113,885089.5965519875,2022-09-15,-0.0084440480260901,2022-09-15
114,889122.3441426781,2022-09-16,0.0045563156616017,2022-09-16
115,888661.1634328392,2022-09-19,-0.000518692070756,2022-09-19
116,879086.3388488509,2022-09-20,-0.0107744379725128,2022-09-20
117,867926.1099004486,2022-09-21,-0.0126952592199492,2022-09-21
118,877517.390718438,2022-09-22,0.0110508034135412,2022-09-22
119,868068.904495032,2022-09-23,-0.010767292276305,2022-09-23
120,865851.1122625186,2022-09-26,-0.0025548573633144,2022-09-26
121,863603.1405881298,2022-09-27,-0.0025962566110411,2022-09-27
122,877671.9849004467,2022-09-28,0.0162908674726864,2022-09-28
